Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
56,male,Brazil,No,Yes,No,Often,26-100,Yes,Yes,No,Not sure,Dont know,Dont know,Dont know,Very difficult,Yes,Yes,No,Yes,No,Maybe,No,Yes
46,male,India,No,No,Yes,Rarely,6-25,No,Yes,Yes,No,Yes,Yes,No,Dont know,Yes,No,Some of them,Some of them,No,Yes,No,Yes
32,male,Brazil,Yes,Yes,No,Often,More than 1000,No,Yes,Dont know,Not sure,Dont know,Dont know,Dont know,Very difficult,Maybe,Yes,Yes,Yes,Yes,Maybe,Yes,No
60,male,Australia,Yes,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Yes,Dont know,Maybe,No,No,Some of them,Yes,No,Yes,Yes
25,male,United Kingdom,Yes,No,No,Sometimes,500-1000,Yes,Yes,Yes,Yes,Yes,Yes,Dont know,Very difficult,Yes,Maybe,Some of them,Some of them,Yes,Maybe,Yes,No
38,male,Netherlands,Yes,Yes,Yes,Never,500-1000,Yes,Yes,Yes,Not sure,Yes,Dont know,Dont know,Dont know,Yes,No,Some of them,Yes,Yes,Yes,Yes,No
56,male,Australia,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,No,Yes,Dont know,Yes,Very difficult,Yes,No,No,Yes,No,Maybe,No,Yes
36,male,United Kingdom,No,No,No,Rarely,1-5,No,Yes,Dont know,Yes,No,Dont know,Yes,Somewhat easy,Yes,Yes,Yes,Yes,Yes,Yes,No,No
40,male,Germany,Yes,Yes,Yes,Sometimes,100-500,Yes,Yes,Dont know,Yes,Dont know,No,No,Very difficult,No,Maybe,Some of them,Yes,No,No,Dont know,Yes
28,male,Brazil,No,Yes,No,Never,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,No,Somewhat easy,No,Yes,Yes,No,Yes,Yes,Dont know,Yes
28,male,Germany,Yes,No,Yes,Often,6-25,No,No,Yes,Not sure,Dont know,Yes,No,Somewhat easy,No,Yes,Yes,No,Yes,Maybe,Yes,Yes
41,male,Germany,Yes,No,Yes,Often,6-25,Yes,No,No,Not sure,Yes,Yes,No,Very easy,Maybe,Maybe,Some of them,Yes,Maybe,No,No,No
53,male,United Kingdom,No,Yes,No,Sometimes,6-25,No,Yes,No,No,No,Dont know,Yes,Somewhat easy,Yes,Yes,No,No,Maybe,Maybe,Dont know,Yes
57,other,India,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,Yes,Dont know,Dont know,Somewhat difficult,No,Yes,Yes,Yes,Yes,Yes,Dont know,Yes
41,male,Other,Yes,No,Yes,Never,500-1000,No,Yes,Dont know,No,Dont know,Dont know,Dont know,Somewhat easy,Yes,No,No,Yes,No,No,Dont know,No
20,female,United Kingdom,Yes,No,Yes,Rarely,6-25,No,Yes,No,No,Dont know,Dont know,Dont know,Very difficult,Yes,Yes,Some of them,Some of them,Yes,Yes,Dont know,No
39,male,France,Yes,Yes,No,Never,100-500,No,No,Dont know,Yes,No,Dont know,No,Somewhat easy,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Yes,No
19,female,Canada,No,No,Yes,Sometimes,500-1000,No,Yes,Dont know,No,Dont know,No,Yes,Very difficult,Maybe,Yes,No,Yes,Yes,Yes,No,No
41,female,Canada,No,Yes,Yes,Never,6-25,Yes,Yes,Dont know,Not sure,Dont know,Dont know,Yes,Very difficult,No,No,No,Yes,Maybe,Maybe,Yes,Yes
61,male,Australia,No,No,No,Never,1-5,No,No,Dont know,No,Yes,Yes,Yes,Somewhat difficult,No,Yes,Yes,Yes,Yes,Maybe,Dont know,Yes
47,male,Canada,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,Dont know,Dont know,Dont know,Somewhat easy,Maybe,Yes,No,Some of them,Yes,No,Dont know,Yes
55,male,United Kingdom,Yes,No,Yes,Rarely,26-100,Yes,Yes,Yes,Not sure,Yes,Yes,No,Somewhat easy,Maybe,Yes,No,Yes,No,No,No,Yes
19,male,Sweden,Yes,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Not sure,No,Dont know,Yes,Dont know,Yes,No,Some of them,Some of them,Maybe,Yes,No,No
38,female,Brazil,Yes,Yes,Yes,Never,500-1000,Yes,Yes,Yes,No,Dont know,Dont know,No,Dont know,Yes,Maybe,Some of them,Yes,Maybe,Maybe,Yes,No
50,female,United Kingdom,Yes,Yes,Yes,Sometimes,6-25,No,Yes,No,No,Yes,Yes,Yes,Very easy,No,Maybe,No,Some of them,Maybe,Maybe,No,Yes
29,other,Other,Yes,No,No,Never,More than 1000,Yes,No,Yes,Not sure,Dont know,Yes,No,Very difficult,No,No,No,No,No,No,Yes,No
39,male,United Kingdom,Yes,No,No,Sometimes,More than 1000,Yes,No,No,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Yes,Some of them,Yes,No,Yes,No
61,female,Netherlands,No,No,Yes,Often,More than 1000,No,Yes,No,Yes,No,Yes,No,Dont know,No,Yes,Some of them,Some of them,No,No,Dont know,No
42,female,Brazil,No,Yes,Yes,Often,500-1000,No,Yes,No,No,Yes,No,Yes,Somewhat easy,Yes,Maybe,Yes,Yes,Yes,No,Yes,No
44,male,France,Yes,No,Yes,Sometimes,100-500,No,No,Yes,No,Dont know,Yes,Yes,Very easy,Maybe,No,No,Some of them,No,Yes,Dont know,No
59,male,Canada,Yes,Yes,No,Rarely,1-5,No,Yes,Yes,Not sure,Yes,Dont know,No,Somewhat difficult,Yes,Maybe,Yes,Some of them,No,Yes,Yes,Yes
45,female,Brazil,No,No,No,Never,1-5,Yes,Yes,Yes,No,Dont know,Dont know,No,Somewhat easy,Maybe,Yes,No,Yes,Maybe,Yes,Yes,Yes
33,male,Canada,No,Yes,Yes,Often,26-100,Yes,Yes,Dont know,No,No,No,Dont know,Somewhat easy,Maybe,No,Some of them,No,No,Yes,No,No
32,female,Australia,No,Yes,Yes,Rarely,26-100,Yes,Yes,No,No,Yes,Yes,No,Very difficult,Yes,Maybe,Some of them,No,Yes,No,No,No
64,male,Brazil,No,Yes,No,Never,More than 1000,No,Yes,Dont know,Yes,Dont know,Dont know,Yes,Very difficult,No,Maybe,No,No,No,Yes,Dont know,Yes
61,female,Canada,Yes,No,Yes,Often,More than 1000,Yes,Yes,No,No,Dont know,No,Yes,Dont know,No,Yes,Some of them,Some of them,No,Yes,No,Yes
20,male,France,Yes,No,No,Often,26-100,No,Yes,Yes,Yes,Dont know,Dont know,No,Dont know,No,No,No,Yes,Yes,Yes,Yes,No
54,male,United States,Yes,No,No,Sometimes,6-25,No,Yes,No,Yes,Yes,No,Dont know,Somewhat easy,No,Maybe,Yes,No,Maybe,No,Dont know,No
24,male,Germany,Yes,Yes,Yes,Never,100-500,Yes,Yes,No,Yes,Yes,No,No,Somewhat easy,Yes,Yes,No,No,Yes,Maybe,Dont know,No
38,female,Germany,Yes,Yes,No,Rarely,100-500,No,Yes,Dont know,Yes,Yes,Yes,Yes,Dont know,Maybe,Maybe,Yes,No,Yes,No,Dont know,Yes
26,female,France,No,No,Yes,Rarely,100-500,Yes,Yes,No,Not sure,No,No,Yes,Dont know,Yes,Yes,No,No,Yes,Maybe,Yes,No
56,male,Netherlands,Yes,No,Yes,Rarely,100-500,No,No,Yes,Yes,Dont know,Dont know,Dont know,Somewhat easy,No,Maybe,Some of them,Yes,No,Maybe,No,No
