Country,Age,Gender,EdLevel,UndergradMajor,Employment,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,WorkWeekHrs,WorkRemote,MentalHealth
Canada,46,male,Some college,Other,Employed part-time,Full-stack developer,6-8 years,9-11 years,Very dissatisfied,Very satisfied,41,Rarely,Poor
United States,59,male,Secondary school,Information systems,Employed part-time,Front-end developer,0-2 years,12+ years,Neutral,Very dissatisfied,74,Most of the time,Good
India,52,male,Some college,Mathematics,Not employed,Other,3-5 years,3-5 years,Neutral,Neutral,37,Most of the time,Good
France,29,female,Bachelors degree,Engineering,Self-employed,Data scientist,0-2 years,Not applicable,Very dissatisfied,Very satisfied,49,Full-time remote,Poor
Other,47,male,Bachelors degree,Engineering,Employed full-time,Front-end developer,9-11 years,0-2 years,Slightly satisfied,Very satisfied,42,Most of the time,Good
United States,23,other,Secondary school,Other,Student,Front-end developer,9-11 years,0-2 years,Very satisfied,Neutral,73,Never,Excellent
Germany,45,female,Doctoral degree,Information systems,Student,Full-stack developer,9-11 years,12+ years,Very satisfied,Slightly satisfied,71,Never,Excellent
India,50,male,Masters degree,Engineering,Employed full-time,Full-stack developer,9-11 years,9-11 years,Very dissatisfied,Very satisfied,35,Never,Good
United Kingdom,57,male,Some college,Engineering,Employed full-time,Data scientist,6-8 years,0-2 years,Neutral,Slightly dissatisfied,36,Sometimes,Poor
Australia,40,male,Bachelors degree,Information systems,Employed full-time,Front-end developer,9-11 years,3-5 years,Neutral,Very satisfied,64,Most of the time,Excellent
United States,44,male,Bachelors degree,Mathematics,Employed part-time,Back-end developer,12+ years,0-2 years,Very dissatisfied,Very satisfied,20,Rarely,Fair
Germany,55,male,Some college,Mathematics,Employed full-time,Other,3-5 years,6-8 years,Very satisfied,Neutral,78,Most of the time,Poor
United Kingdom,61,male,Masters degree,Information systems,Employed full-time,Other,0-2 years,0-2 years,Slightly dissatisfied,Very satisfied,27,Full-time remote,Prefer not to say
Netherlands,19,male,Doctoral degree,Engineering,Employed part-time,Other,12+ years,6-8 years,Very dissatisfied,Slightly dissatisfied,79,Full-time remote,Poor
India,33,male,Bachelors degree,Other,Employed full-time,Other,0-2 years,0-2 years,Very dissatisfied,Neutral,69,Sometimes,Poor
United Kingdom,48,female,Doctoral degree,Computer science,Self-employed,Other,9-11 years,9-11 years,Neutral,Slightly dissatisfied,63,Never,Excellent
United Kingdom,25,male,Some college,Information systems,Not employed,Data scientist,9-11 years,3-5 years,Slightly satisfied,Very dissatisfied,62,Never,Good
Germany,33,male,Bachelors degree,Computer science,Not employed,Full-stack developer,9-11 years,0-2 years,Very satisfied,Very dissatisfied,69,Full-time remote,Fair
France,31,male,Secondary school,Engineering,Self-employed,Front-end developer,12+ years,Not applicable,Slightly dissatisfied,Very dissatisfied,25,Sometimes,Prefer not to say
Canada,50,male,Secondary school,Engineering,Student,Other,0-2 years,9-11 years,Very dissatisfied,Slightly satisfied,57,Full-time remote,Fair
Canada,44,male,Secondary school,Mathematics,Student,Other,6-8 years,3-5 years,Neutral,Neutral,24,Most of the time,Fair
United States,36,male,Doctoral degree,Computer science,Employed part-time,Full-stack developer,6-8 years,Not applicable,Very satisfied,Slightly dissatisfied,70,Most of the time,Fair
France,48,male,Secondary school,Mathematics,Self-employed,Back-end developer,12+ years,0-2 years,Neutral,Slightly dissatisfied,27,Most of the time,Fair
Spain,58,female,Some college,Computer science,Self-employed,Back-end developer,0-2 years,6-8 years,Slightly satisfied,Very dissatisfied,62,Full-time remote,Prefer not to say
United States,63,female,Doctoral degree,Engineering,Not employed,Front-end developer,6-8 years,9-11 years,Slightly satisfied,Very satisfied,24,Sometimes,Excellent
Other,21,male,Bachelors degree,Mathematics,Not employed,Other,3-5 years,9-11 years,Very satisfied,Neutral,46,Rarely,Poor
United States,59,male,Doctoral degree,Information systems,Employed part-time,Front-end developer,3-5 years,12+ years,Very dissatisfied,Slightly dissatisfied,50,Full-time remote,Fair
Netherlands,35,male,Some college,Information systems,Employed part-time,Full-stack developer,0-2 years,12+ years,Slightly satisfied,Very dissatisfied,75,Rarely,Good
United Kingdom,57,male,Bachelors degree,Other,Not employed,Front-end developer,12+ years,Not applicable,Slightly satisfied,Slightly satisfied,29,Sometimes,Fair
United States,61,male,Secondary school,Other,Employed full-time,Other,0-2 years,3-5 years,Very dissatisfied,Neutral,66,Most of the time,Excellent
Canada,19,male,Some college,Mathematics,Employed part-time,Data scientist,0-2 years,3-5 years,Very dissatisfied,Neutral,62,Most of the time,Excellent
Canada,42,female,Some college,Information systems,Student,Back-end developer,6-8 years,3-5 years,Very dissatisfied,Very dissatisfied,34,Sometimes,Excellent
Spain,35,male,Secondary school,Computer science,Not employed,Data scientist,9-11 years,3-5 years,Neutral,Very satisfied,77,Rarely,Fair
Netherlands,36,male,Masters degree,Engineering,Student,Other,3-5 years,6-8 years,Slightly dissatisfied,Neutral,45,Most of the time,Fair
Australia,58,female,Doctoral degree,Mathematics,Not employed,Front-end developer,0-2 years,9-11 years,Neutral,Neutral,79,Full-time remote,Prefer not to say
Canada,26,female,Doctoral degree,Other,Not employed,Full-stack developer,9-11 years,12+ years,Neutral,Very dissatisfied,59,Most of the time,Excellent
Spain,43,male,Some college,Engineering,Not employed,Back-end developer,3-5 years,3-5 years,Slightly satisfied,Very dissatisfied,61,Most of the time,Prefer not to say
France,44,male,Bachelors degree,Information systems,Employed part-time,Front-end developer,3-5 years,9-11 years,Very satisfied,Slightly dissatisfied,31,Rarely,Fair
United States,43,female,Some college,Engineering,Employed full-time,Back-end developer,6-8 years,12+ years,Very dissatisfied,Slightly dissatisfied,80,Rarely,Fair
Germany,30,male,Secondary school,Computer science,Self-employed,Other,6-8 years,3-5 years,Slightly dissatisfied,Very satisfied,28,Never,Poor
United Kingdom,27,male,Masters degree,Other,Student,Back-end developer,12+ years,0-2 years,Very dissatisfied,Very dissatisfied,59,Rarely,Good
Netherlands,50,other,Masters degree,Mathematics,Not employed,Data scientist,6-8 years,6-8 years,Slightly satisfied,Very satisfied,70,Rarely,Fair
Netherlands,32,male,Doctoral degree,Mathematics,Not employed,Back-end developer,0-2 years,9-11 years,Very satisfied,Very satisfied,27,Sometimes,Fair
United States,45,male,Some college,Computer science,Not employed,Data scientist,3-5 years,12+ years,Very satisfied,Slightly dissatisfied,60,Sometimes,Good
Brazil,47,male,Bachelors degree,Engineering,Not employed,Data scientist,9-11 years,6-8 years,Slightly dissatisfied,Very dissatisfied,69,Never,Excellent
Other,62,male,Doctoral degree,Engineering,Student,Front-end developer,12+ years,9-11 years,Very dissatisfied,Slightly dissatisfied,39,Sometimes,Good
Other,63,female,Secondary school,Engineering,Employed part-time,Full-stack developer,12+ years,6-8 years,Very satisfied,Very dissatisfied,79,Most of the time,Prefer not to say
France,47,male,Masters degree,Mathematics,Employed full-time,Front-end developer,12+ years,0-2 years,Neutral,Slightly satisfied,74,Full-time remote,Good
France,60,male,Doctoral degree,Other,Employed full-time,Data scientist,3-5 years,0-2 years,Neutral,Slightly satisfied,57,Never,Fair
France,25,male,Bachelors degree,Other,Not employed,Other,0-2 years,Not applicable,Very dissatisfied,Very satisfied,50,Sometimes,Fair
Spain,53,male,Doctoral degree,Information systems,Student,Other,12+ years,0-2 years,Neutral,Slightly dissatisfied,35,Full-time remote,Good
