age,country,employment,remotework,orgsize,comptotal,jobsat,convertedcompyearly,industry
18-24 years old,Pakistan,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",100 to 499 employees,2040000.0,10.0,7322.0,Software Development
35-44 years old,Turkey,"Employed, full-time",Remote,20 to 99 employees,85000.0,10.0,91295.0,Computer Systems Design and Services
25-34 years old,United States of America,"Employed, full-time;Student, part-time",Remote,10 to 19 employees,110000.0,10.0,110000.0,"Transportation, or Supply Chain"
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",126420.0,7.0,161044.0,Retail and Consumer Services
45-54 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",195000.0,5.0,195000.0,Healthcare
35-44 years old,Greece,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,20 to 99 employees,74000.0,3.0,79481.0,Software Development
35-44 years old,Brazil,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,170000.0,8.0,170000.0,Other:
25-34 years old,Germany,"Employed, full-time",In-person,10 to 19 employees,27000.0,10.0,29000.0,Higher Education
25-34 years old,Italy,"Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,62000.0,7.0,66592.0,Healthcare
55-64 years old,Germany,"Employed, full-time",Remote,20 to 99 employees,80000.0,7.0,85925.0,Other:
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,100 to 499 employees,98000.0,7.0,124840.0,Software Development
18-24 years old,Ukraine,"Employed, full-time;Student, full-time",Remote,"1,000 to 4,999 employees",50000.0,8.0,50000.0,Software Development
25-34 years old,United States of America,"Employed, full-time",Remote,100 to 499 employees,230000.0,8.0,230000.0,Software Development
35-44 years old,United States of America,"Employed, full-time",In-person,20 to 99 employees,85000.0,8.0,85000.0,Retail and Consumer Services
35-44 years old,United States of America,"Employed, full-time",Remote,10 to 19 employees,160000.0,7.0,160000.0,Software Development
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,"10,000 or more employees",127000.0,8.0,161783.0,Other:
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time;Student, part-time",Remote,20 to 99 employees,115000.0,9.0,146496.0,Software Development
25-34 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,65000.0,6.0,69814.0,Software Development
45-54 years old,United States of America,"Employed, full-time",In-person,100 to 499 employees,115000.0,6.0,115000.0,Other:
25-34 years old,South Africa,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,1200000.0,7.0,64570.0,Software Development
45-54 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",300000.0,1.0,300000.0,Software Development
35-44 years old,Czech Republic,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",1200000.0,3.0,52122.0,Software Development
25-34 years old,France,"Employed, full-time",In-person,2 to 9 employees,51000.0,2.0,54777.0,Software Development
45-54 years old,Canada,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",350000.0,7.0,254425.0,Software Development
35-44 years old,Germany,"Student, part-time;Employed, part-time",In-person,100 to 499 employees,26000.0,4.0,27926.0,Software Development
45-54 years old,Italy,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",20 to 99 employees,100000.0,8.0,107406.0,Software Development
25-34 years old,Brazil,"Employed, full-time",Remote,100 to 499 employees,200000.0,5.0,37297.0,Manufacturing
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,80000.0,6.0,85925.0,Other:
45-54 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",140000.0,8.0,140000.0,Retail and Consumer Services
25-34 years old,"Iran, Islamic Republic of...","Employed, full-time",In-person,10 to 19 employees,9000000000.0,4.0,213840.0,Software Development
55-64 years old,United States of America,"Employed, full-time",Remote,I don’t know,200000.0,8.0,200000.0,Software Development
25-34 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",93000.0,8.0,93000.0,"Internet, Telecomm or Information Services"
35-44 years old,Russian Federation,"Employed, full-time",Remote,"1,000 to 4,999 employees",6000000.0,8.0,67227.0,"Internet, Telecomm or Information Services"
25-34 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",135000.0,9.0,144998.0,"Transportation, or Supply Chain"
35-44 years old,France,"Independent contractor, freelancer, or self-employed",Remote,2 to 9 employees,55000.0,7.0,59073.0,Retail and Consumer Services
35-44 years old,Canada,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",165000.0,6.0,119943.0,Healthcare
35-44 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,100000.0,7.0,100000.0,Other:
25-34 years old,Dominican Republic,"Employed, full-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",840000.0,5.0,14142.0,Government
55-64 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",102000.0,0.0,102000.0,Government
25-34 years old,Ukraine,"Employed, full-time",Remote,10 to 19 employees,650.0,9.0,650.0,Software Development
25-34 years old,United States of America,"Employed, full-time;Student, full-time",Remote,100 to 499 employees,136000.0,3.0,136000.0,Software Development
55-64 years old,Italy,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,45000.0,7.0,48333.0,Manufacturing
45-54 years old,France,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",2 to 9 employees,50000.0,6.0,53703.0,Computer Systems Design and Services
45-54 years old,United States of America,"Employed, full-time",In-person,20 to 99 employees,175000.0,9.0,175000.0,Software Development
25-34 years old,United States of America,"Employed, full-time",In-person,"10,000 or more employees",650000.0,6.0,650000.0,Software Development
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",80000.0,8.0,85925.0,Software Development
35-44 years old,Bolivia,"Employed, full-time",Remote,100 to 499 employees,31200.0,8.0,31200.0,"Transportation, or Supply Chain"
25-34 years old,Germany,"Independent contractor, freelancer, or self-employed;Employed, part-time",Remote,100 to 499 employees,52000.0,7.0,55851.0,"Internet, Telecomm or Information Services"
45-54 years old,United States of America,"Employed, full-time",Remote,20 to 99 employees,130000.0,8.0,130000.0,Other:
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,84000.0,6.0,90221.0,Media & Advertising Services
18-24 years old,Morocco,"Employed, full-time",In-person,20 to 99 employees,36000.0,2.0,3618.0,Software Development
35-44 years old,United States of America,"Employed, full-time",In-person,"5,000 to 9,999 employees",150000.0,8.0,150000.0,Government
35-44 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",400000.0,8.0,400000.0,Software Development
25-34 years old,India,"Employed, full-time",Remote,2 to 9 employees,1100000.0,8.0,13160.0,Software Development
25-34 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",160000.0,6.0,160000.0,Software Development
35-44 years old,Turkey,"Employed, full-time",Remote,10 to 19 employees,78000.0,4.0,2411.0,Retail and Consumer Services
35-44 years old,Georgia,"Employed, full-time",Remote,"10,000 or more employees",144000.0,6.0,50340.0,Banking/Financial Services
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",2 to 9 employees,39000.0,7.0,49681.0,Higher Education
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",2 to 9 employees,100000.0,8.0,100000.0,Software Development
35-44 years old,Saudi Arabia,"Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",62000.0,8.0,16532.0,Healthcare
35-44 years old,United States of America,"Employed, full-time",Remote,100 to 499 employees,220000.0,6.0,220000.0,Other:
